ramp_PG_sa_lr1,ramp_PG_sa_lr0.1,ramp_A3C_sa_lr1,ramp_A3C_sa_lr0.1,ramp_A3C_sa_lr0.01,ramp_PPO_sa_lr5e-5,ramp_PG_ma_lr0.01,ramp_A3C_ma_lr0.01,ramp_PPO_ma_lr0.1,ramp_PPO_ma_lr5e-5,,,ramp_len100_pos300,ramp_len150_pos300,ramp_len200_pos300,ramp_len200_pos200,ramp_len200_pos250,ramp_len200_pos350,ramp_len250_pos300,ramp_turn
-24248.94393,-24162.31376,-38313.52308,-53829.70839,-23580.97906,nan,-6870.059368,-37546.82365,-24940.51427,-1525.51441,,,-3619.127468,-1920.664626,-3927.326437,-3544.412785,-2926.224389,-4052.551984,-4480.810487,-230.572672
-24276.63663,-24556.3798,-38313.52308,-51844.55878,-23580.97906,nan,-6539.579909,-37546.82365,-25054.50863,-1576.039726,,,-3617.518309,-1963.883149,-3829.207112,-3512.86952,-3093.413252,-4020.85815,-4322.698136,-213.5629712
-24332.36017,-24396.9191,-38313.52308,-51844.55878,-23580.97906,nan,-6438.477815,-37546.82365,-25200.72277,-1521.109148,,,-3634.925751,-1859.3731,-3964.743472,-3434.830444,-3217.511072,-3953.965829,-4302.679657,-236.6527313
-24226.16508,-24203.4145,-38313.52308,-51844.55878,-23580.97906,nan,-6689.983026,-37546.82365,-24980.14315,-1589.566712,,,-3791.226601,-1774.782557,-4071.597479,-3293.24519,-3042.263064,-3846.503232,-4374.47027,-216.489639
-24349.50413,-24422.33001,-38313.52308,-51844.55878,-23580.97906,nan,-6871.964181,-37546.82365,-25150.15627,-1578.723742,,,-3669.397938,-1776.485094,-3964.591548,-3398.94903,-3277.080109,-3985.550532,-4412.925143,-193.9449389
-24238.72136,-24440.27606,-35744.75479,-51844.55878,-23580.97906,nan,-7491.975066,-37546.82365,-25057.49745,-1522.381371,,,-3708.926554,-1694.198089,-3997.261365,-3522.522586,-3016.706489,-4028.777046,-4337.386526,-189.4355643
-24095.92452,-24498.09211,-35133.81752,-51844.55878,-23574.63058,nan,-8347.282271,-37095.08274,-25263.06079,-1587.067495,,,-3790.36185,-1749.290377,-3903.854032,-3269.778252,-3085.67344,-3991.741382,-4291.350337,-199.6076298
-24179.13146,-24321.45567,-35133.81752,-51844.55878,-23587.94232,nan,-9410.876718,-36449.42506,-25124.1131,-1504.125242,,,-3669.597413,-1655.055112,-3984.607415,-3591.690897,-3182.443925,-4148.571276,-4193.302686,-192.1816147
-24330.04048,-24700.2729,-35133.81752,-50182.684,-23587.94232,nan,-10687.92774,-36128.8141,-24968.09594,-1535.687954,,,-3545.319045,-1842.564022,-3993.316207,-3377.075471,-3230.9789,-3711.754498,-4036.308092,-176.2531323
-24272.6394,-24167.88009,-35133.81752,-50182.684,-23587.94232,nan,-9706.37722,-36128.8141,-24857.93502,-1526.345836,,,-3351.754801,-1796.71445,-3913.501112,-3405.47114,-3335.218224,-3785.136257,-4027.900853,-178.4498768
-24442.10258,-24385.79494,-35133.81752,-48737.12806,-23587.94232,nan,-9331.415394,-36128.8141,-24995.7395,-1519.754253,,,-3481.520228,nan,-3912.587469,-3351.300545,-3130.57942,-3704.220453,-4194.773399,-177.8639742
-24082.59824,-24283.0456,-35133.81752,-48737.12806,-23587.94232,nan,-8333.62182,-36128.8141,-25093.02765,-1507.676504,,,-3539.990399,nan,-3835.383184,-3206.708458,-3296.817166,-3946.042807,-4000.572042,-192.8996068
-24420.31545,-24392.91564,-35133.81752,-47381.76572,-23587.94232,nan,-7897.080319,-35792.46157,-25217.02814,-1452.722043,,,-3520.923813,nan,-3789.919805,-3277.36671,-3160.70917,-3780.48206,-4035.234604,-189.7733971
-24295.37116,-24263.65419,-35133.81752,-46370.96787,-23587.94232,nan,-7085.267634,-35207.72176,-25347.38464,-1494.311981,,,-3322.735176,nan,-3798.635363,-3272.243569,-3230.492285,-3776.279436,-3919.170045,-192.150599
-24266.15466,-24307.7167,-35133.81752,-46370.96787,-23587.94232,nan,-6260.05262,-34893.19951,-25175.50148,-1593.549661,,,-3471.851533,nan,-3884.742573,-3177.725697,-3144.774548,-3878.106734,-4155.698406,-180.9068983
-24554.57323,-24446.1957,-35133.81752,-46370.96787,-23587.94232,nan,-5908.605895,-34893.19951,-25458.83394,-1588.43477,,,-3379.835114,nan,-3818.302416,-3164.499915,-3399.703853,-3905.362911,-3947.778899,-181.097002
-24108.76476,-24439.45494,-33853.75048,-46370.96787,-23587.94232,nan,-5343.622579,-34893.19951,-25332.40893,-1565.796377,,,-3372.117888,nan,-3711.26734,-3059.591875,-3191.079562,-3851.699627,-4200.491334,-188.9778777
-24163.90264,-24471.50352,-33376.21987,-46370.96787,-27670.07013,nan,-4944.523668,-34893.19951,-24944.58967,-1472.491389,,,-3229.00039,nan,-3794.206813,-3120.979122,-3440.024509,-3848.646407,-4005.299338,-179.1555445
-24407.00547,-24025.23118,-33376.21987,-46370.96787,-35754.14849,nan,-4950.592446,-34701.87593,-24901.0598,-1682.055243,,,-3340.316327,nan,-3965.424007,-3216.828397,-3256.049525,-4003.19203,-3931.87027,-182.1060093
-24288.40567,-24163.56936,-33005.55829,-46370.96787,-35754.14849,nan,-4937.290572,-34298.62736,-25160.1058,-1735.617638,,,-3435.333292,nan,-3796.252952,-3221.465661,-3292.784582,-3783.268708,-3974.438602,-187.87115
-24209.36153,-24439.94596,-33005.55829,-46370.96787,-40326.94749,nan,-4712.706705,-34106.19101,-25324.86293,-1626.737534,,,-3515.795708,nan,-3743.25542,-3252.617825,-3243.456693,-3892.887373,-3959.951452,-178.4920858
-24361.55465,-24336.87738,-33005.55829,-45388.61386,-40326.94749,nan,-4176.935904,-34106.19101,-25058.9005,-1603.602971,,,-3303.123562,nan,-3596.027216,-3168.065527,-3380.667934,-3833.997137,-4087.064093,-185.4862671
-24253.56176,-23942.59694,-33005.55829,-44349.19138,-40326.94749,nan,-4126.562036,-34106.19101,-25302.20103,-1663.074948,,,-3329.413974,nan,-3633.664714,-3200.30157,-3246.575545,-3787.256684,-3960.311176,-185.5633558
-23902.47062,-24420.01668,-33005.55829,-44349.19138,-40326.94749,nan,-4063.824585,-34106.19101,-25000.38806,-1529.197763,,,-3221.312784,nan,-3640.343492,-3381.050781,-3124.327216,-4016.472539,-4044.594851,-173.1097199
